0.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,26.0,31.0,33.0,42.0
2.0,17.0,34.0,50.0,58.0,74.0
5.0,22.0,36.0,57.0,65.0,92.0
3.0,27.0,48.0,71.0,84.0,128.0
6.0,21.0,51.0,82.0,97.0,148.0
4.0,20.0,54.0,90.0,106.0,167.0
3.0,22.0,50.0,81.0,102.0,171.0
2.0,27.0,56.0,97.0,115.0,179.0
4.0,25.0,57.0,92.0,117.0,180.0
4.0,30.0,62.0,99.0,121.0,193.0
5.0,29.0,61.0,102.0,128.0,206.0
6.0,32.0,73.0,119.0,142.0,229.0
5.0,30.0,68.0,111.0,133.0,220.0
7.0,35.0,66.0,120.0,145.0,223.0
4.0,35.0,81.0,129.0,155.0,248.0
5.0,32.0,77.0,128.0,157.0,251.0
4.0,34.0,71.0,128.0,157.0,263.0
6.0,37.0,78.0,135.0,165.0,262.0
7.0,34.0,73.0,131.0,161.0,260.0
4.0,38.0,82.0,129.0,155.0,260.0
4.0,37.0,80.0,143.0,175.0,282.0
8.0,38.0,76.0,136.0,168.0,279.0
5.0,35.0,88.0,155.0,182.0,281.0
5.0,39.0,88.0,151.0,182.0,292.0
7.0,42.0,93.0,151.0,180.0,289.0
6.0,39.0,86.0,153.0,193.0,302.0
4.0,60.0,112.0,174.0,211.0,322.0
5.0,44.0,98.0,152.0,180.0,290.0
6.0,47.0,99.0,160.0,194.0,306.0
6.0,44.0,97.0,163.0,200.0,310.0
