49.0,46.0,45.0,42.0,45.0,33.0
50.0,40.0,38.0,37.0,38.0,40.0
46.0,47.0,41.0,38.0,36.0,39.0
54.0,44.0,44.0,42.0,41.0,44.0
49.0,46.0,47.0,44.0,43.0,46.0
49.0,42.0,41.0,42.0,41.0,42.0
50.0,51.0,45.0,37.0,42.0,38.0
45.0,47.0,42.0,39.0,40.0,43.0
47.0,46.0,46.0,40.0,41.0,43.0
51.0,45.0,47.0,47.0,44.0,48.0
51.0,40.0,43.0,42.0,40.0,45.0
46.0,42.0,40.0,39.0,39.0,42.0
50.0,44.0,43.0,42.0,41.0,40.0
49.0,41.0,38.0,38.0,39.0,42.0
49.0,48.0,51.0,48.0,53.0,55.0
47.0,45.0,39.0,38.0,40.0,42.0
47.0,44.0,40.0,41.0,48.0,48.0
52.0,38.0,41.0,42.0,46.0,42.0
47.0,42.0,45.0,41.0,43.0,48.0
51.0,39.0,38.0,41.0,40.0,47.0
51.0,43.0,43.0,42.0,42.0,45.0
59.0,52.0,51.0,47.0,47.0,51.0
47.0,41.0,42.0,38.0,38.0,38.0
47.0,42.0,47.0,45.0,45.0,43.0
58.0,41.0,39.0,39.0,40.0,40.0
48.0,46.0,39.0,39.0,39.0,38.0
48.0,38.0,41.0,40.0,43.0,42.0
52.0,45.0,43.0,44.0,41.0,40.0
56.0,46.0,41.0,38.0,38.0,38.0
51.0,42.0,45.0,40.0,41.0,36.0
50.0,41.0,40.0,39.0,37.0,40.0
